id,date,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twentyone,twentytwo,twentythree,twentyfour
707,2023/1/21,0,0,0,0,0,0,8,94,240,273,805,1084,1406,1791,2441,1564,1110,1071,690,269,94,70,0,0
708,2023/1/21,0,0,0,0,0,0,10,161,205,228,574,762,814,1601,1890,1000,804,740,448,221,175,60,0,0
709,2023/1/21,0,0,0,0,0,0,48,254,390,404,485,804,957,1954,2302,1751,873,792,442,396,374,136,0,0
710,2023/1/21,0,0,0,0,0,0,15,69,224,362,445,756,1128,1531,1624,1259,807,566,419,266,205,58,0,0
711,2023/1/21,0,0,0,0,0,0,71,212,313,390,529,817,1036,1106,1424,1056,965,723,513,332,286,90,0,0
712,2023/1/21,0,0,0,0,0,0,18,160,205,229,400,805,1107,1569,1818,1549,842,772,394,212,187,116,0,0
713,2023/1/21,0,0,0,0,0,0,20,89,138,178,647,808,1087,1486,1710,1212,931,688,602,176,133,35,0,0
714,2023/1/21,0,0,0,0,0,0,5,39,90,201,487,672,1111,1399,2022,1130,882,634,261,123,51,7,0,0
715,2023/1/22,0,0,0,0,0,0,36,230,237,256,363,483,665,1399,1926,883,535,420,341,247,231,143,0,0
716,2023/1/22,0,0,0,0,0,0,7,64,115,372,529,604,985,1511,1852,1060,624,583,467,292,83,45,0,0
717,2023/1/22,0,0,0,0,0,0,67,361,375,570,794,1012,1076,1532,1682,1127,1068,885,656,468,363,67,0,0
718,2023/1/22,0,0,0,0,0,0,6,143,194,377,585,854,1106,1373,1484,1347,1069,649,451,230,156,123,0,0
719,2023/1/22,0,0,0,0,0,0,76,125,189,266,530,639,1055,1432,1919,1401,818,576,336,234,159,92,0,0
720,2023/1/22,0,0,0,0,0,0,19,193,242,328,501,570,808,1251,1733,936,760,564,481,317,213,95,0,0
721,2023/1/22,0,0,0,0,0,0,2,37,239,527,853,980,1239,1723,1942,1414,987,917,530,339,201,17,0,0
722,2023/1/22,0,0,0,0,0,0,32,145,289,429,518,826,1065,1726,2234,1144,969,768,459,358,283,142,0,0
723,2023/1/23,0,0,0,0,0,0,59,164,244,327,444,628,830,1557,1778,1066,829,531,442,273,180,153,0,0
724,2023/1/23,0,0,0,0,0,0,95,147,279,337,386,1159,1493,1752,2080,1597,1272,617,384,326,274,137,0,0
725,2023/1/23,0,0,0,0,0,0,141,291,321,364,775,910,1016,1956,2383,1017,953,778,559,354,315,246,0,0
726,2023/1/23,0,0,0,0,0,0,12,87,141,390,545,657,1304,1624,1753,1454,1002,599,461,358,140,81,0,0
727,2023/1/23,0,0,0,0,0,0,43,111,223,309,656,867,1232,1551,1643,1249,944,807,557,250,183,83,0,0
728,2023/1/23,0,0,0,0,0,0,160,217,296,301,444,687,805,1348,1793,1080,743,458,302,298,237,189,0,0
729,2023/1/23,0,0,0,0,0,0,126,198,244,280,328,432,926,1882,2114,956,590,328,297,274,209,164,0,0
730,2023/1/23,0,0,0,0,0,0,114,256,424,579,600,751,1072,1612,1836,1189,870,645,591,450,305,233,0,0
731,2023/1/24,0,0,0,0,0,0,36,115,319,345,349,683,1280,1470,1741,1318,1097,495,348,327,257,114,0,0
732,2023/1/24,0,0,0,0,0,0,44,115,296,545,827,1013,1194,1420,2319,1350,1032,916,640,440,139,54,0,0
733,2023/1/24,0,0,0,0,0,0,5,93,229,277,482,695,957,1495,1601,1380,921,592,319,242,201,88,0,0
734,2023/1/24,0,0,0,0,0,0,59,148,254,419,491,1114,1421,1593,1927,1518,1318,665,423,262,226,117,0,0
735,2023/1/24,0,0,0,0,0,0,8,136,250,377,663,752,1203,1405,1469,1373,1069,669,507,344,177,98,0,0
736,2023/1/24,0,0,0,0,0,0,73,86,321,351,378,450,799,924,2030,910,516,449,375,344,236,76,0,0
737,2023/1/24,0,0,0,0,0,0,15,58,201,518,697,1173,1304,2029,2056,1319,1189,1010,653,367,164,58,0,0
738,2023/1/24,0,0,0,0,0,0,54,207,294,418,459,667,1248,1675,2044,1362,1190,655,422,297,230,184,0,0
739,2023/1/25,0,0,0,0,0,0,10,115,204,238,538,698,1115,1510,2024,1210,961,553,337,205,164,71,0,0
740,2023/1/25,0,0,0,0,0,0,36,167,342,363,500,655,1384,1766,1875,1385,910,556,406,356,290,92,0,0
741,2023/1/25,0,0,0,0,0,0,24,151,164,224,237,293,1147,1787,2138,1189,676,262,225,177,155,74,0,0
742,2023/1/25,0,0,0,0,0,0,23,105,120,170,275,499,1082,1274,1358,1091,981,360,238,124,119,42,0,0
743,2023/1/25,0,0,0,0,0,0,106,213,291,466,727,1002,1407,1513,1620,1414,1359,788,697,424,261,205,0,0
744,2023/1/25,0,0,0,0,0,0,74,122,152,397,708,757,1020,1456,1588,1063,880,715,593,269,133,116,0,0
745,2023/1/25,0,0,0,0,0,0,36,174,283,354,406,452,765,905,1594,778,520,423,381,349,281,134,0,0
746,2023/1/25,0,0,0,0,0,0,2,50,230,319,494,869,897,1274,1280,1132,892,528,469,287,160,11,0,0
747,2023/1/26,0,0,0,0,0,0,27,66,104,167,203,374,712,1285,1528,740,508,338,184,128,95,35,0,0
748,2023/1/26,0,0,0,0,0,0,25,105,134,299,314,520,835,1251,1966,923,815,425,304,159,121,60,0,0
749,2023/1/26,0,0,0,0,0,0,31,153,217,288,414,554,947,1678,1762,1234,855,549,336,258,208,133,0,0
750,2023/1/26,0,0,0,0,0,0,24,34,156,385,568,645,1202,1283,1600,1249,899,614,422,260,35,26,0,0
751,2023/1/26,0,0,0,0,0,0,0,143,189,284,353,566,880,1444,1493,1397,758,367,323,269,146,47,0,0
752,2023/1/26,0,0,0,0,0,0,48,153,230,498,544,746,1377,1462,1833,1454,898,683,528,321,154,81,0,0
753,2023/1/26,0,0,0,0,0,0,56,126,287,487,569,933,1374,1856,1898,1671,1188,743,539,482,133,79,0,0
754,2023/1/26,0,0,0,0,0,0,19,118,130,221,280,593,696,1830,2192,1138,649,552,228,150,124,55,0,0
755,2023/1/27,0,0,0,0,0,0,98,251,377,461,773,890,1251,1781,1786,1297,936,807,462,392,308,159,0,0
756,2023/1/27,0,0,0,0,0,0,37,42,102,415,477,673,1295,1632,1950,1398,1131,484,446,106,97,42,0,0
757,2023/1/27,0,0,0,0,0,0,45,80,134,364,563,671,898,1362,2439,1109,734,629,532,266,125,50,0,0
758,2023/1/27,0,0,0,0,0,0,27,202,386,532,645,1108,1277,1503,1990,1352,1244,647,595,408,304,201,0,0
759,2023/1/27,0,0,0,0,0,0,37,91,258,478,491,978,1341,1744,1769,1668,1103,964,490,310,96,70,0,0
760,2023/1/27,0,0,0,0,0,0,100,176,208,309,523,760,1156,1697,1817,1187,904,652,339,283,198,154,0,0
761,2023/1/27,0,0,0,0,0,0,54,119,249,416,523,819,1090,1374,1444,1314,1038,814,433,262,142,76,0,0
762,2023/1/27,0,0,0,0,0,0,76,83,190,343,494,961,1129,1231,1507,1170,1053,536,396,315,137,79,0,0
763,2023/1/28,0,0,0,0,0,0,189,268,398,522,621,839,844,1432,2040,917,841,766,589,477,274,228,0,0
764,2023/1/28,0,0,0,0,0,0,75,128,240,270,350,517,860,1622,1878,1330,681,403,315,254,196,84,0,0
765,2023/1/28,0,0,0,0,0,0,242,323,342,388,744,771,1172,1633,1669,1619,1053,765,476,383,331,265,0,0
766,2023/1/28,0,0,0,0,0,0,9,260,422,495,570,679,1049,1191,1230,1169,700,645,561,442,398,255,0,0
767,2023/1/28,0,0,0,0,0,0,43,144,198,336,578,655,872,1494,1854,1406,698,579,458,214,180,121,0,0
768,2023/1/28,0,0,0,0,0,0,124,215,305,526,609,662,802,1080,1760,895,711,650,608,420,280,172,0,0
769,2023/1/28,0,0,0,0,0,0,99,155,518,531,574,1402,1671,1789,1962,1748,1493,973,534,527,466,103,0,0
770,2023/1/28,0,0,0,0,0,0,173,194,242,465,578,992,1689,1791,1990,1776,1246,715,497,449,210,181,0,0
771,2023/1/29,0,0,0,0,0,0,48,141,229,309,348,520,1149,1605,1761,1172,537,445,342,234,145,133,0,0
772,2023/1/29,0,0,0,0,0,0,9,195,413,471,522,869,1039,1209,2089,1043,1025,548,521,414,292,37,0,0
